BeatsPerMinute	Danceability	Loudness	Length	Popularity
85	29	-8	210	84
85	77	-6	171	90
88	66	-2	182	88
90	76	-6	158	91
92	81	-4	309	83
92	80	-4	266	91
93	64	-8	198	86
93	70	-7	261	82
93	64	-4	222	89
94	74	-3	193	91
95	81	-6	199	78
95	75	-6	206	82
96	82	-4	185	86
96	73	-7	213	89
96	78	-5	176	89
96	57	-6	216	87
98	82	-6	210	83
98	80	-7	200	89
98	88	-4	162	88
100	77	-5	224	89
100	69	-3	214	88
101	83	-4	205	92
102	80	-5	220	84
104	69	-7	228	88
104	59	-6	218	88
105	79	-4	302	92
110	50	-6	182	88
111	48	-5	202	90
114	66	-7	164	89
117	76	-6	191	79
124	68	-7	153	91
124	69	-4	191	70
130	84	-8	161	88
135	70	-11	194	95
135	67	-11	195	89
136	88	-6	157	87
136	90	-9	198	84
138	84	-5	181	80
140	78	-11	179	89
150	58	-4	175	94
152	72	-5	162	87
154	70	-6	115	91
158	72	-3	173	91
176	61	-5	251	93
176	73	-2	288	87
176	75	-6	243	90
176	75	-5	226	91
176	67	-4	202	88
180	75	-6	131	92
190	40	-4	186	85
